Pattern,Text,Cause,Connector,Effect
(.*) so (.*?) that (.*),There is so much to know about our home planet that most geologists become specialists in one area.,There is,much to know about our home planet,most geologists become specialists in one area.
(.*?) for (.*),Others look for petroleum.,Others look,petroleum.
(.*?) since (.*),"The word oceanology might be more accurate, since ology is the study of.","The word oceanology might be more accurate,",ology is the study of.
(.*?) as (.*),"As big as Earth seems, the entire universe is vastly more enormous.",As big,"Earth seems, the entire universe is vastly more enormous."
(.*?) as (.*),These scientists work to understand the climate as it is now.,These scientists work to understand the climate,it is now.
(.*?) as (.*),Smaller sediments are dropped as the slope becomes less steep.,Smaller sediments are dropped,the slope becomes less steep.
(.*) because of (.*),This might happen because of heavy rains.,This might happen,heavy rains.
(.*?) as (.*),"Floodplains As the water spreads out over the land, it slows down and drops its sediment.",Floodplains,"the water spreads out over the land, it slows down and drops its sediment."
(.*) because of (.*),"If a river floods often, the floodplain develops a thick layer of rich soil because of all the deposits.","If a river floods often, the floodplain develops a thick layer of rich soil",all the deposits.
(.*?) for (.*),Thats why floodplains are usually good places for growing plants.,Thats why floodplains are usually good places,growing plants.
(.*?) for (.*),"For example, the Nile River in Egypt provides both water and thick sediments for raising crops in the middle of a sandy desert.","For example, the Nile River in Egypt provides both water and thick sediments",raising crops in the middle of a sandy desert.
(.*?) because (.*),Levees occur because floodwaters deposit their biggest sediments first when they overflow the rivers banks.,Levees occur,floodwaters deposit their biggest sediments first when they overflow the rivers banks.
(.*?)(?:by|through) (.*),It travels down through tiny holes in soil.,It travels down ,tiny holes in soil.
(.*?)(?:by|through) (.*),It seeps through cracks in rock.,It seeps ,cracks in rock.
(.*?)(?:by|through) (.*),"The water moves slowly, pulled deeper and deeper by gravity.","The water moves slowly, pulled deeper and deeper ",gravity.
(.*?)(?:by|through) (.*),"As groundwater moves through rock, it dissolves minerals.",As groundwater moves ,"rock, it dissolves minerals."
(.*?) as (.*),Both types of formations grow in size as water keeps dripping and more minerals are deposited.,Both types of formations grow in size,water keeps dripping and more minerals are deposited.
(.*?)(?:by|through) (.*),"As erosion by groundwater continues, the ceiling of a cave may collapse.",As erosion ,"groundwater continues, the ceiling of a cave may collapse."
(.*) because of (.*),"Large curves, called meanders, form because of erosion and deposition by the moving water.","Large curves, called meanders, form",erosion and deposition by the moving water.
(.*?) because (.*),The curves are called meanders because they slowly wander over the land.,The curves are called meanders,they slowly wander over the land.
(.*) because of (.*),A mountain stream flows very quickly because of the steep slope.,A mountain stream flows very quickly,the steep slope.
(.*?) as (.*),"As the runoff flows, it may pick up loose material on the surface, such as bits of soil and sand.","As the runoff flows, it may pick up loose material on the surface, such",bits of soil and sand.
(.*?) if (.*),Runoff is likely to cause more erosion if the land is bare.,Runoff is likely to cause more erosion,the land is bare.
(.*?)(?:by|through) (.*),Can you find evidence of erosion by runoff where you live?,Can you find evidence of erosion ,runoff where you live?
